stem,class,deixis,tam
mɛ́ð-ɔ́,unmarked,itive,imperative
mɛ̀ð-á,unmarked,ventive,imperative
ḿɛ́ð-ɔ́,unmarked,itive,imperative
m̀ɛ̀ð-á,unmarked,ventive,imperative
ɲə̀-mɛ̀ð-ɛ̀,ɲ,itive,dependent
ɲə̀-mɛ̀ð-ɔ́,ɲ,ventive,perfective
ɲə̀-mɛ̀ð-à,ɲ,ventive,dependent
ɲə̀-m̀ɛ̀ð-ɛ̀,ɲ,itive,dependent
ɲə̀-m̀ɛ̀ð-ɔ́,ɲ,ventive,perfective
ɲə̀-m̀ɛ̀ð-à,ɲ,ventive,dependent
ɲ-á-mɛ́ð-à,ɲ,itive,imperfective
ɲ-á-mɛ̀ð-ɔ́,ɲ,ventive,imperfective
ɲ-á-ḿɛ̀ð-à,ɲ,itive,imperfective
ɲ-á-m̀ɛ̀ð-ɔ́,ɲ,ventive,imperfective
ɲ-à-mɛ́ð-ɛ̀,ɲ,itive,perfective
ɲ-à-ḿɛ̀ð-ɛ̀,ɲ,itive,perfective
ŋə̀-mɛ̀ð-ɛ̀,ŋ,itive,dependent
ŋə̀-mɛ̀ð-ɔ́,ŋ,ventive,perfective
ŋə̀-mɛ̀ð-à,ŋ,ventive,dependent
ŋə̀-m̀ɛ̀ð-ɛ̀,ŋ,itive,dependent
ŋə̀-m̀ɛ̀ð-ɔ́,ŋ,ventive,perfective
ŋə̀-m̀ɛ̀ð-à,ŋ,ventive,dependent
ŋ-á-mɛ́ð-à,ŋ,itive,imperfective
ŋ-á-mɛ̀ð-ɔ́,ŋ,ventive,imperfective
ŋ-á-ḿɛ̀ð-à,ŋ,itive,imperfective
ŋ-á-m̀ɛ̀ð-ɔ́,ŋ,ventive,imperfective
ŋ-à-mɛ́ð-ɛ̀,ŋ,itive,perfective
ŋ-à-ḿɛ̀ð-ɛ̀,ŋ,itive,perfective
ðə́-mɛ́ð-á,ð,unmarked,infinitive
ðə́-ḿɛ́ð-á,ð,unmarked,infinitive
ðə̀-mɛ̀ð-ɛ̀,ð,itive,dependent
ðə̀-mɛ̀ð-ɔ́,ð,ventive,perfective
ðə̀-mɛ̀ð-à,ð,ventive,dependent
ðə̀-m̀ɛ̀ð-ɛ̀,ð,itive,dependent
ðə̀-m̀ɛ̀ð-ɔ́,ð,ventive,perfective
ðə̀-m̀ɛ̀ð-à,ð,ventive,dependent
ð-á-mɛ́ð-à,ð,itive,imperfective
ð-á-mɛ̀ð-ɔ́,ð,ventive,imperfective
ð-á-ḿɛ̀ð-à,ð,itive,imperfective
ð-á-m̀ɛ̀ð-ɔ́,ð,ventive,imperfective
ð-à-mɛ́ð-ɛ̀,ð,itive,perfective
ð-à-ḿɛ̀ð-ɛ̀,ð,itive,perfective
t̪ə̀-mɛ̀ð-ɛ̀,t̪,itive,dependent
t̪ə̀-mɛ̀ð-ɔ́,t̪,ventive,perfective
t̪ə̀-mɛ̀ð-à,t̪,ventive,dependent
t̪ə̀-m̀ɛ̀ð-ɛ̀,t̪,itive,dependent
t̪ə̀-m̀ɛ̀ð-ɔ́,t̪,ventive,perfective
t̪ə̀-m̀ɛ̀ð-à,t̪,ventive,dependent
t̪-á-mɛ́ð-à,t̪,itive,imperfective
t̪-á-mɛ̀ð-ɔ́,t̪,ventive,imperfective
t̪-á-ḿɛ̀ð-à,t̪,itive,imperfective
t̪-á-m̀ɛ̀ð-ɔ́,t̪,ventive,imperfective
t̪-à-mɛ́ð-ɛ̀,t̪,itive,perfective
t̪-à-ḿɛ̀ð-ɛ̀,t̪,itive,perfective
rə̀-mɛ̀ð-ɛ̀,r,itive,dependent
rə̀-mɛ̀ð-ɔ́,r,ventive,perfective
rə̀-mɛ̀ð-à,r,ventive,dependent
rə̀-m̀ɛ̀ð-ɛ̀,r,itive,dependent
rə̀-m̀ɛ̀ð-ɔ́,r,ventive,perfective
rə̀-m̀ɛ̀ð-à,r,ventive,dependent
r-á-mɛ́ð-à,r,itive,imperfective
r-á-mɛ̀ð-ɔ́,r,ventive,imperfective
r-á-ḿɛ̀ð-à,r,itive,imperfective
r-á-m̀ɛ̀ð-ɔ́,r,ventive,imperfective
r-à-mɛ́ð-ɛ̀,r,itive,perfective
r-à-ḿɛ̀ð-ɛ̀,r,itive,perfective
nə̀-mɛ̀ð-ɛ̀,n,itive,dependent
nə̀-mɛ̀ð-ɔ́,n,ventive,perfective
nə̀-mɛ̀ð-à,n,ventive,dependent
nə̀-m̀ɛ̀ð-ɛ̀,n,itive,dependent
nə̀-m̀ɛ̀ð-ɔ́,n,ventive,perfective
nə̀-m̀ɛ̀ð-à,n,ventive,dependent
n-á-mɛ́ð-à,n,itive,imperfective
n-á-mɛ̀ð-ɔ́,n,ventive,imperfective
n-á-ḿɛ̀ð-à,n,itive,imperfective
n-á-m̀ɛ̀ð-ɔ́,n,ventive,imperfective
n-à-mɛ́ð-ɛ̀,n,itive,perfective
n-à-ḿɛ̀ð-ɛ̀,n,itive,perfective
lə̀-mɛ̀ð-ɛ̀,l,itive,dependent
lə̀-mɛ̀ð-ɔ́,l,ventive,perfective
lə̀-mɛ̀ð-à,l,ventive,dependent
lə̀-m̀ɛ̀ð-ɛ̀,l,itive,dependent
lə̀-m̀ɛ̀ð-ɔ́,l,ventive,perfective
lə̀-m̀ɛ̀ð-à,l,ventive,dependent
l-á-mɛ́ð-à,l,itive,imperfective
l-á-mɛ̀ð-ɔ́,l,ventive,imperfective
l-á-ḿɛ̀ð-à,l,itive,imperfective
l-á-m̀ɛ̀ð-ɔ́,l,ventive,imperfective
l-à-mɛ́ð-ɛ̀,l,itive,perfective
l-à-ḿɛ̀ð-ɛ̀,l,itive,perfective
jə̀-mɛ̀ð-ɛ̀,j,itive,dependent
jə̀-mɛ̀ð-ɔ́,j,ventive,perfective
jə̀-mɛ̀ð-à,j,ventive,dependent
jə̀-m̀ɛ̀ð-ɛ̀,j,itive,dependent
jə̀-m̀ɛ̀ð-ɔ́,j,ventive,perfective
jə̀-m̀ɛ̀ð-à,j,ventive,dependent
j-á-mɛ́ð-à,j,itive,imperfective
j-á-mɛ̀ð-ɔ́,j,ventive,imperfective
j-á-ḿɛ̀ð-à,j,itive,imperfective
j-á-m̀ɛ̀ð-ɔ́,j,ventive,imperfective
j-à-mɛ́ð-ɛ̀,j,itive,perfective
j-à-ḿɛ̀ð-ɛ̀,j,itive,perfective
gə̀-mɛ̀ð-ɛ̀,g,itive,dependent
gə̀-mɛ̀ð-ɔ́,g,ventive,perfective
gə̀-mɛ̀ð-à,g,ventive,dependent
gə̀-m̀ɛ̀ð-ɛ̀,g,itive,dependent
gə̀-m̀ɛ̀ð-ɔ́,g,ventive,perfective
gə̀-m̀ɛ̀ð-à,g,ventive,dependent
g-á-mɛ́ð-à,g,itive,imperfective
g-á-mɛ̀ð-ɔ́,g,ventive,imperfective
g-á-ḿɛ̀ð-à,g,itive,imperfective
g-á-m̀ɛ̀ð-ɔ́,g,ventive,imperfective
g-à-mɛ́ð-ɛ̀,g,itive,perfective
g-à-ḿɛ̀ð-ɛ̀,g,itive,perfective
ɔ́ɾ́-ɔ́,unmarked,itive,imperative
ɔ́ɾ-ɔ́,unmarked,itive,imperative
ɔ̀ɾ̀-ɔ́,unmarked,ventive,imperative
ɔ̀ɾ-ɔ́,unmarked,ventive,imperative
ɲ-ɔ̀ɾ̀-ɛ̀,ɲ,itive,dependent
ɲ-ɔ̀ɾ̀-ɔ́,ɲ,ventive,perfective
ɲ-ɔ̀ɾ̀-ɔ̀,ɲ,ventive,dependent
ɲ-ɔ̀ɾ-ɛ̀,ɲ,itive,dependent
ɲ-ɔ̀ɾ-ɔ́,ɲ,ventive,perfective
ɲ-ɔ̀ɾ-ɔ̀,ɲ,ventive,dependent
ɲ-á-ɔ́ɾ̀-ɔ̀,ɲ,itive,imperfective
ɲ-á-ɔ́ɾ-ɔ̀,ɲ,itive,imperfective
ɲ-á-ɔ̀ɾ̀-ɔ́,ɲ,ventive,imperfective
ɲ-á-ɔ̀ɾ-ɔ́,ɲ,ventive,imperfective
ɲ-à-ɔ́ɾ̀-ɛ̀,ɲ,itive,perfective
ɲ-à-ɔ́ɾ-ɛ̀,ɲ,itive,perfective
ŋ-ɔ̀ɾ̀-ɛ̀,ŋ,itive,dependent
ŋ-ɔ̀ɾ̀-ɔ́,ŋ,ventive,perfective
ŋ-ɔ̀ɾ̀-ɔ̀,ŋ,ventive,dependent
ŋ-ɔ̀ɾ-ɛ̀,ŋ,itive,dependent
ŋ-ɔ̀ɾ-ɔ́,ŋ,ventive,perfective
ŋ-ɔ̀ɾ-ɔ̀,ŋ,ventive,dependent
ŋ-á-ɔ́ɾ̀-ɔ̀,ŋ,itive,imperfective
ŋ-á-ɔ́ɾ-ɔ̀,ŋ,itive,imperfective
ŋ-á-ɔ̀ɾ̀-ɔ́,ŋ,ventive,imperfective
ŋ-á-ɔ̀ɾ-ɔ́,ŋ,ventive,imperfective
ŋ-à-ɔ́ɾ̀-ɛ̀,ŋ,itive,perfective
ŋ-à-ɔ́ɾ-ɛ̀,ŋ,itive,perfective
ð-ɔ́ɾ́-ɔ́,ð,unmarked,infinitive
ð-ɔ́ɾ-ɔ́,ð,unmarked,infinitive
ð-ɔ̀ɾ̀-ɛ̀,ð,itive,dependent
ð-ɔ̀ɾ̀-ɔ́,ð,ventive,perfective
ð-ɔ̀ɾ̀-ɔ̀,ð,ventive,dependent
ð-ɔ̀ɾ-ɛ̀,ð,itive,dependent
ð-ɔ̀ɾ-ɔ́,ð,ventive,perfective
ð-ɔ̀ɾ-ɔ̀,ð,ventive,dependent
ð-á-ɔ́ɾ̀-ɔ̀,ð,itive,imperfective
ð-á-ɔ́ɾ-ɔ̀,ð,itive,imperfective
ð-á-ɔ̀ɾ̀-ɔ́,ð,ventive,imperfective
ð-á-ɔ̀ɾ-ɔ́,ð,ventive,imperfective
ð-à-ɔ́ɾ̀-ɛ̀,ð,itive,perfective
ð-à-ɔ́ɾ-ɛ̀,ð,itive,perfective
t̪-ɔ̀ɾ̀-ɛ̀,t̪,itive,dependent
t̪-ɔ̀ɾ̀-ɔ́,t̪,ventive,perfective
t̪-ɔ̀ɾ̀-ɔ̀,t̪,ventive,dependent
t̪-ɔ̀ɾ-ɛ̀,t̪,itive,dependent
t̪-ɔ̀ɾ-ɔ́,t̪,ventive,perfective
t̪-ɔ̀ɾ-ɔ̀,t̪,ventive,dependent
t̪-á-ɔ́ɾ̀-ɔ̀,t̪,itive,imperfective
t̪-á-ɔ́ɾ-ɔ̀,t̪,itive,imperfective
t̪-á-ɔ̀ɾ̀-ɔ́,t̪,ventive,imperfective
t̪-á-ɔ̀ɾ-ɔ́,t̪,ventive,imperfective
t̪-à-ɔ́ɾ̀-ɛ̀,t̪,itive,perfective
t̪-à-ɔ́ɾ-ɛ̀,t̪,itive,perfective
r-ɔ̀ɾ̀-ɛ̀,r,itive,dependent
r-ɔ̀ɾ̀-ɔ́,r,ventive,perfective
r-ɔ̀ɾ̀-ɔ̀,r,ventive,dependent
r-ɔ̀ɾ-ɛ̀,r,itive,dependent
r-ɔ̀ɾ-ɔ́,r,ventive,perfective
r-ɔ̀ɾ-ɔ̀,r,ventive,dependent
r-á-ɔ́ɾ̀-ɔ̀,r,itive,imperfective
r-á-ɔ́ɾ-ɔ̀,r,itive,imperfective
r-á-ɔ̀ɾ̀-ɔ́,r,ventive,imperfective
r-á-ɔ̀ɾ-ɔ́,r,ventive,imperfective
r-à-ɔ́ɾ̀-ɛ̀,r,itive,perfective
r-à-ɔ́ɾ-ɛ̀,r,itive,perfective
n-ɔ̀ɾ̀-ɛ̀,n,itive,dependent
n-ɔ̀ɾ̀-ɔ́,n,ventive,perfective
n-ɔ̀ɾ̀-ɔ̀,n,ventive,dependent
n-ɔ̀ɾ-ɛ̀,n,itive,dependent
n-ɔ̀ɾ-ɔ́,n,ventive,perfective
n-ɔ̀ɾ-ɔ̀,n,ventive,dependent
n-á-ɔ́ɾ̀-ɔ̀,n,itive,imperfective
n-á-ɔ́ɾ-ɔ̀,n,itive,imperfective
n-á-ɔ̀ɾ̀-ɔ́,n,ventive,imperfective
n-á-ɔ̀ɾ-ɔ́,n,ventive,imperfective
n-à-ɔ́ɾ̀-ɛ̀,n,itive,perfective
n-à-ɔ́ɾ-ɛ̀,n,itive,perfective
l-ɔ̀ɾ̀-ɛ̀,l,itive,dependent
l-ɔ̀ɾ̀-ɔ́,l,ventive,perfective
l-ɔ̀ɾ̀-ɔ̀,l,ventive,dependent
l-ɔ̀ɾ-ɛ̀,l,itive,dependent
l-ɔ̀ɾ-ɔ́,l,ventive,perfective
l-ɔ̀ɾ-ɔ̀,l,ventive,dependent
l-á-ɔ́ɾ̀-ɔ̀,l,itive,imperfective
l-á-ɔ́ɾ-ɔ̀,l,itive,imperfective
l-á-ɔ̀ɾ̀-ɔ́,l,ventive,imperfective
l-á-ɔ̀ɾ-ɔ́,l,ventive,imperfective
l-à-ɔ́ɾ̀-ɛ̀,l,itive,perfective
l-à-ɔ́ɾ-ɛ̀,l,itive,perfective
j-ɔ̀ɾ̀-ɛ̀,j,itive,dependent
j-ɔ̀ɾ̀-ɔ́,j,ventive,perfective
j-ɔ̀ɾ̀-ɔ̀,j,ventive,dependent
j-ɔ̀ɾ-ɛ̀,j,itive,dependent
j-ɔ̀ɾ-ɔ́,j,ventive,perfective
j-ɔ̀ɾ-ɔ̀,j,ventive,dependent
j-á-ɔ́ɾ̀-ɔ̀,j,itive,imperfective
j-á-ɔ́ɾ-ɔ̀,j,itive,imperfective
j-á-ɔ̀ɾ̀-ɔ́,j,ventive,imperfective
j-á-ɔ̀ɾ-ɔ́,j,ventive,imperfective
j-à-ɔ́ɾ̀-ɛ̀,j,itive,perfective
j-à-ɔ́ɾ-ɛ̀,j,itive,perfective
g-ɔ̀ɾ̀-ɛ̀,g,itive,dependent
g-ɔ̀ɾ̀-ɔ́,g,ventive,perfective
g-ɔ̀ɾ̀-ɔ̀,g,ventive,dependent
g-ɔ̀ɾ-ɛ̀,g,itive,dependent
g-ɔ̀ɾ-ɔ́,g,ventive,perfective
g-ɔ̀ɾ-ɔ̀,g,ventive,dependent
g-á-ɔ́ɾ̀-ɔ̀,g,itive,imperfective
g-á-ɔ́ɾ-ɔ̀,g,itive,imperfective
g-á-ɔ̀ɾ̀-ɔ́,g,ventive,imperfective
g-á-ɔ̀ɾ-ɔ́,g,ventive,imperfective
g-à-ɔ́ɾ̀-ɛ̀,g,itive,perfective
g-à-ɔ́ɾ-ɛ̀,g,itive,perfective
áɾ́-ɔ́,unmarked,itive,imperative
áɾ-ɔ́,unmarked,itive,imperative
àɾ̀-á,unmarked,ventive,imperative
àɾ-á,unmarked,ventive,imperative
ɲ-àɾ̀-ɛ̀,ɲ,itive,dependent
ɲ-àɾ̀-ɔ́,ɲ,ventive,perfective
ɲ-àɾ̀-à,ɲ,ventive,dependent
ɲ-àɾ-ɛ̀,ɲ,itive,dependent
ɲ-àɾ-ɔ́,ɲ,ventive,perfective
ɲ-àɾ-à,ɲ,ventive,dependent
ɲ-á-áɾ̀-à,ɲ,itive,imperfective
ɲ-á-áɾ-à,ɲ,itive,imperfective
ɲ-á-àɾ̀-ɔ́,ɲ,ventive,imperfective
ɲ-á-àɾ-ɔ́,ɲ,ventive,imperfective
ɲ-à-áɾ̀-ɛ̀,ɲ,itive,perfective
ɲ-à-áɾ-ɛ̀,ɲ,itive,perfective
ŋ-àɾ̀-ɛ̀,ŋ,itive,dependent
ŋ-àɾ̀-ɔ́,ŋ,ventive,perfective
ŋ-àɾ̀-à,ŋ,ventive,dependent
ŋ-àɾ-ɛ̀,ŋ,itive,dependent
ŋ-àɾ-ɔ́,ŋ,ventive,perfective
ŋ-àɾ-à,ŋ,ventive,dependent
ŋ-á-áɾ̀-à,ŋ,itive,imperfective
ŋ-á-áɾ-à,ŋ,itive,imperfective
ŋ-á-àɾ̀-ɔ́,ŋ,ventive,imperfective
ŋ-á-àɾ-ɔ́,ŋ,ventive,imperfective
ŋ-à-áɾ̀-ɛ̀,ŋ,itive,perfective
ŋ-à-áɾ-ɛ̀,ŋ,itive,perfective
ð-áɾ́-á,ð,unmarked,infinitive
ð-áɾ-á,ð,unmarked,infinitive
ð-àɾ̀-ɛ̀,ð,itive,dependent
ð-àɾ̀-ɔ́,ð,ventive,perfective
ð-àɾ̀-à,ð,ventive,dependent
ð-àɾ-ɛ̀,ð,itive,dependent
ð-àɾ-ɔ́,ð,ventive,perfective
ð-àɾ-à,ð,ventive,dependent
ð-á-áɾ̀-à,ð,itive,imperfective
ð-á-áɾ-à,ð,itive,imperfective
ð-á-àɾ̀-ɔ́,ð,ventive,imperfective
ð-á-àɾ-ɔ́,ð,ventive,imperfective
ð-à-áɾ̀-ɛ̀,ð,itive,perfective
ð-à-áɾ-ɛ̀,ð,itive,perfective
t̪-àɾ̀-ɛ̀,t̪,itive,dependent
t̪-àɾ̀-ɔ́,t̪,ventive,perfective
t̪-àɾ̀-à,t̪,ventive,dependent
t̪-àɾ-ɛ̀,t̪,itive,dependent
t̪-àɾ-ɔ́,t̪,ventive,perfective
t̪-àɾ-à,t̪,ventive,dependent
t̪-á-áɾ̀-à,t̪,itive,imperfective
t̪-á-áɾ-à,t̪,itive,imperfective
t̪-á-àɾ̀-ɔ́,t̪,ventive,imperfective
t̪-á-àɾ-ɔ́,t̪,ventive,imperfective
t̪-à-áɾ̀-ɛ̀,t̪,itive,perfective
t̪-à-áɾ-ɛ̀,t̪,itive,perfective
r-àɾ̀-ɛ̀,r,itive,dependent
r-àɾ̀-ɔ́,r,ventive,perfective
r-àɾ̀-à,r,ventive,dependent
r-àɾ-ɛ̀,r,itive,dependent
r-àɾ-ɔ́,r,ventive,perfective
r-àɾ-à,r,ventive,dependent
r-á-áɾ̀-à,r,itive,imperfective
r-á-áɾ-à,r,itive,imperfective
r-á-àɾ̀-ɔ́,r,ventive,imperfective
r-á-àɾ-ɔ́,r,ventive,imperfective
r-à-áɾ̀-ɛ̀,r,itive,perfective
r-à-áɾ-ɛ̀,r,itive,perfective
n-àɾ̀-ɛ̀,n,itive,dependent
n-àɾ̀-ɔ́,n,ventive,perfective
n-àɾ̀-à,n,ventive,dependent
n-àɾ-ɛ̀,n,itive,dependent
n-àɾ-ɔ́,n,ventive,perfective
n-àɾ-à,n,ventive,dependent
n-á-áɾ̀-à,n,itive,imperfective
n-á-áɾ-à,n,itive,imperfective
n-á-àɾ̀-ɔ́,n,ventive,imperfective
n-á-àɾ-ɔ́,n,ventive,imperfective
n-à-áɾ̀-ɛ̀,n,itive,perfective
n-à-áɾ-ɛ̀,n,itive,perfective
l-àɾ̀-ɛ̀,l,itive,dependent
l-àɾ̀-ɔ́,l,ventive,perfective
l-àɾ̀-à,l,ventive,dependent
l-àɾ-ɛ̀,l,itive,dependent
l-àɾ-ɔ́,l,ventive,perfective
l-àɾ-à,l,ventive,dependent
l-á-áɾ̀-à,l,itive,imperfective
l-á-áɾ-à,l,itive,imperfective
l-á-àɾ̀-ɔ́,l,ventive,imperfective
l-á-àɾ-ɔ́,l,ventive,imperfective
l-à-áɾ̀-ɛ̀,l,itive,perfective
l-à-áɾ-ɛ̀,l,itive,perfective
j-àɾ̀-ɛ̀,j,itive,dependent
j-àɾ̀-ɔ́,j,ventive,perfective
j-àɾ̀-à,j,ventive,dependent
j-àɾ-ɛ̀,j,itive,dependent
j-àɾ-ɔ́,j,ventive,perfective
j-àɾ-à,j,ventive,dependent
j-á-áɾ̀-à,j,itive,imperfective
j-á-áɾ-à,j,itive,imperfective
j-á-àɾ̀-ɔ́,j,ventive,imperfective
j-á-àɾ-ɔ́,j,ventive,imperfective
j-à-áɾ̀-ɛ̀,j,itive,perfective
j-à-áɾ-ɛ̀,j,itive,perfective
g-àɾ̀-ɛ̀,g,itive,dependent
g-àɾ̀-ɔ́,g,ventive,perfective
g-àɾ̀-à,g,ventive,dependent
g-àɾ-ɛ̀,g,itive,dependent
g-àɾ-ɔ́,g,ventive,perfective
g-àɾ-à,g,ventive,dependent
g-á-áɾ̀-à,g,itive,imperfective
g-á-áɾ-à,g,itive,imperfective
g-á-àɾ̀-ɔ́,g,ventive,imperfective
g-á-àɾ-ɔ́,g,ventive,imperfective
g-à-áɾ̀-ɛ̀,g,itive,perfective
g-à-áɾ-ɛ̀,g,itive,perfective
dúɾ́-ɔ́,unmarked,itive,imperative
dúɾ-ɔ́,unmarked,itive,imperative
dùɾ̀-ɔ́,unmarked,ventive,imperative
dùɾ-ɔ́,unmarked,ventive,imperative
ɲə̀-dùɾ̀-ɛ̀,ɲ,itive,dependent
ɲə̀-dùɾ̀-ɔ́,ɲ,ventive,perfective
ɲə̀-dùɾ̀-ɔ̀,ɲ,ventive,dependent
ɲə̀-dùɾ-ɛ̀,ɲ,itive,dependent
ɲə̀-dùɾ-ɔ́,ɲ,ventive,perfective
ɲə̀-dùɾ-ɔ̀,ɲ,ventive,dependent
ɲ-á-dúɾ̀-ɔ̀,ɲ,itive,imperfective
ɲ-á-dúɾ-ɔ̀,ɲ,itive,imperfective
ɲ-á-dùɾ̀-ɔ́,ɲ,ventive,imperfective
ɲ-á-dùɾ-ɔ́,ɲ,ventive,imperfective
ɲ-à-dúɾ̀-ɛ̀,ɲ,itive,perfective
ɲ-à-dúɾ-ɛ̀,ɲ,itive,perfective
ŋə̀-dùɾ̀-ɛ̀,ŋ,itive,dependent
ŋə̀-dùɾ̀-ɔ́,ŋ,ventive,perfective
ŋə̀-dùɾ̀-ɔ̀,ŋ,ventive,dependent
ŋə̀-dùɾ-ɛ̀,ŋ,itive,dependent
ŋə̀-dùɾ-ɔ́,ŋ,ventive,perfective
ŋə̀-dùɾ-ɔ̀,ŋ,ventive,dependent
ŋ-á-dúɾ̀-ɔ̀,ŋ,itive,imperfective
ŋ-á-dúɾ-ɔ̀,ŋ,itive,imperfective
ŋ-á-dùɾ̀-ɔ́,ŋ,ventive,imperfective
ŋ-á-dùɾ-ɔ́,ŋ,ventive,imperfective
ŋ-à-dúɾ̀-ɛ̀,ŋ,itive,perfective
ŋ-à-dúɾ-ɛ̀,ŋ,itive,perfective
ðə́-dúɾ́-ɔ́,ð,unmarked,infinitive
ðə́-dúɾ-ɔ́,ð,unmarked,infinitive
ðə̀-dùɾ̀-ɛ̀,ð,itive,dependent
ðə̀-dùɾ̀-ɔ́,ð,ventive,perfective
ðə̀-dùɾ̀-ɔ̀,ð,ventive,dependent
ðə̀-dùɾ-ɛ̀,ð,itive,dependent
ðə̀-dùɾ-ɔ́,ð,ventive,perfective
ðə̀-dùɾ-ɔ̀,ð,ventive,dependent
ð-á-dúɾ̀-ɔ̀,ð,itive,imperfective
ð-á-dúɾ-ɔ̀,ð,itive,imperfective
ð-á-dùɾ̀-ɔ́,ð,ventive,imperfective
ð-á-dùɾ-ɔ́,ð,ventive,imperfective
ð-à-dúɾ̀-ɛ̀,ð,itive,perfective
ð-à-dúɾ-ɛ̀,ð,itive,perfective
t̪ə̀-dùɾ̀-ɛ̀,t̪,itive,dependent
t̪ə̀-dùɾ̀-ɔ́,t̪,ventive,perfective
t̪ə̀-dùɾ̀-ɔ̀,t̪,ventive,dependent
t̪ə̀-dùɾ-ɛ̀,t̪,itive,dependent
t̪ə̀-dùɾ-ɔ́,t̪,ventive,perfective
t̪ə̀-dùɾ-ɔ̀,t̪,ventive,dependent
t̪-á-dúɾ̀-ɔ̀,t̪,itive,imperfective
t̪-á-dúɾ-ɔ̀,t̪,itive,imperfective
t̪-á-dùɾ̀-ɔ́,t̪,ventive,imperfective
t̪-á-dùɾ-ɔ́,t̪,ventive,imperfective
t̪-à-dúɾ̀-ɛ̀,t̪,itive,perfective
t̪-à-dúɾ-ɛ̀,t̪,itive,perfective
rə̀-dùɾ̀-ɛ̀,r,itive,dependent
rə̀-dùɾ̀-ɔ́,r,ventive,perfective
rə̀-dùɾ̀-ɔ̀,r,ventive,dependent
rə̀-dùɾ-ɛ̀,r,itive,dependent
rə̀-dùɾ-ɔ́,r,ventive,perfective
rə̀-dùɾ-ɔ̀,r,ventive,dependent
r-á-dúɾ̀-ɔ̀,r,itive,imperfective
r-á-dúɾ-ɔ̀,r,itive,imperfective
r-á-dùɾ̀-ɔ́,r,ventive,imperfective
r-á-dùɾ-ɔ́,r,ventive,imperfective
r-à-dúɾ̀-ɛ̀,r,itive,perfective
r-à-dúɾ-ɛ̀,r,itive,perfective
nə̀-dùɾ̀-ɛ̀,n,itive,dependent
nə̀-dùɾ̀-ɔ́,n,ventive,perfective
nə̀-dùɾ̀-ɔ̀,n,ventive,dependent
nə̀-dùɾ-ɛ̀,n,itive,dependent
nə̀-dùɾ-ɔ́,n,ventive,perfective
nə̀-dùɾ-ɔ̀,n,ventive,dependent
n-á-dúɾ̀-ɔ̀,n,itive,imperfective
n-á-dúɾ-ɔ̀,n,itive,imperfective
n-á-dùɾ̀-ɔ́,n,ventive,imperfective
n-á-dùɾ-ɔ́,n,ventive,imperfective
n-à-dúɾ̀-ɛ̀,n,itive,perfective
n-à-dúɾ-ɛ̀,n,itive,perfective
lə̀-dùɾ̀-ɛ̀,l,itive,dependent
lə̀-dùɾ̀-ɔ́,l,ventive,perfective
lə̀-dùɾ̀-ɔ̀,l,ventive,dependent
lə̀-dùɾ-ɛ̀,l,itive,dependent
lə̀-dùɾ-ɔ́,l,ventive,perfective
lə̀-dùɾ-ɔ̀,l,ventive,dependent
l-á-dúɾ̀-ɔ̀,l,itive,imperfective
l-á-dúɾ-ɔ̀,l,itive,imperfective
l-á-dùɾ̀-ɔ́,l,ventive,imperfective
l-á-dùɾ-ɔ́,l,ventive,imperfective
l-à-dúɾ̀-ɛ̀,l,itive,perfective
l-à-dúɾ-ɛ̀,l,itive,perfective
jə̀-dùɾ̀-ɛ̀,j,itive,dependent
jə̀-dùɾ̀-ɔ́,j,ventive,perfective
jə̀-dùɾ̀-ɔ̀,j,ventive,dependent
jə̀-dùɾ-ɛ̀,j,itive,dependent
jə̀-dùɾ-ɔ́,j,ventive,perfective
jə̀-dùɾ-ɔ̀,j,ventive,dependent
j-á-dúɾ̀-ɔ̀,j,itive,imperfective
j-á-dúɾ-ɔ̀,j,itive,imperfective
j-á-dùɾ̀-ɔ́,j,ventive,imperfective
j-á-dùɾ-ɔ́,j,ventive,imperfective
j-à-dúɾ̀-ɛ̀,j,itive,perfective
j-à-dúɾ-ɛ̀,j,itive,perfective
gə̀-dùɾ̀-ɛ̀,g,itive,dependent
gə̀-dùɾ̀-ɔ́,g,ventive,perfective
gə̀-dùɾ̀-ɔ̀,g,ventive,dependent
gə̀-dùɾ-ɛ̀,g,itive,dependent
gə̀-dùɾ-ɔ́,g,ventive,perfective
gə̀-dùɾ-ɔ̀,g,ventive,dependent
g-á-dúɾ̀-ɔ̀,g,itive,imperfective
g-á-dúɾ-ɔ̀,g,itive,imperfective
g-á-dùɾ̀-ɔ́,g,ventive,imperfective
g-á-dùɾ-ɔ́,g,ventive,imperfective
g-à-dúɾ̀-ɛ̀,g,itive,perfective
g-à-dúɾ-ɛ̀,g,itive,perfective
ád-í,unmarked,itive,imperative
àd-ɔ́,unmarked,ventive,imperative
ɲ-àd-ɔ̀,ɲ,ventive,dependent
ɲ-àd-í,ɲ,ventive,perfective
ɲ-àd-ì,ɲ,itive,dependent
ɲ-á-ád-ɔ̀,ɲ,itive,imperfective
ɲ-á-àd-í,ɲ,ventive,imperfective
ɲ-à-ád-ì,ɲ,itive,perfective
ŋ-àd-ɔ̀,ŋ,ventive,dependent
ŋ-àd-í,ŋ,ventive,perfective
ŋ-àd-ì,ŋ,itive,dependent
ŋ-á-ád-ɔ̀,ŋ,itive,imperfective
ŋ-á-àd-í,ŋ,ventive,imperfective
